,Player,PTS.1,TRB.1,AST.1,FG%,3P%,FT%,WS,BPM
125,Josh Richardson,12.0,3.1,2.7,0.427,0.364,0.838,23.4,-0.5
126,Pat Connaughton,5.9,3.3,1.2,0.447,0.367,0.794,18.0,0.0
127,Andrew Harrison,7.0,2.0,2.8,0.373,0.294,0.779,3.2,-2.8
128,Norman Powell,11.3,2.6,1.5,0.462,0.382,0.831,19.3,-0.2
129,Ben Simmons,15.9,8.1,7.7,0.56,0.147,0.597,30.4,3.7
130,Brandon Ingram,18.5,5.1,3.8,0.461,0.362,0.766,18.3,-0.3
131,Jaylen Brown,16.3,4.9,2.0,0.471,0.371,0.711,23.4,0.0
132,Dragan Bender,5.4,3.9,1.3,0.399,0.323,0.654,0.5,-3.9
133,Kris Dunn,8.2,3.3,4.1,0.421,0.303,0.738,3.9,-2.0
134,Buddy Hield,15.9,4.3,2.5,0.429,0.398,0.865,17.0,0.1
135,Jamal Murray,16.3,3.6,3.8,0.446,0.367,0.878,20.8,0.3
136,Marquese Chriss,7.7,4.8,1.0,0.456,0.29,0.665,6.3,-2.3
137,Jakob Poeltl,7.2,6.0,1.4,0.627,0.667,0.518,28.2,1.0
138,Domantas Sabonis,14.4,9.2,3.6,0.534,0.319,0.728,34.9,1.8
139,Taurean Prince,10.6,3.9,1.8,0.416,0.371,0.817,8.3,-1.7
140,Denzel Valentine,7.0,3.3,1.8,0.394,0.36,0.787,4.5,-1.9
141,Juancho Hernangómez,5.3,3.4,0.6,0.423,0.346,0.684,7.4,-2.0
142,Malik Beasley,10.4,2.5,1.2,0.431,0.386,0.812,10.3,-0.9
143,Caris LeVert,14.6,3.8,3.9,0.436,0.334,0.734,11.5,-0.5
144,DeAndre' Bembry,5.9,3.2,1.8,0.474,0.283,0.611,4.4,-2.3
145,Timothé Luwawu-Cabarrot,5.9,2.0,0.9,0.39,0.334,0.83,4.3,-4.1
146,Furkan Korkmaz,8.0,2.3,1.4,0.407,0.358,0.765,7.3,-1.6
147,Pascal Siakam,15.5,6.2,3.0,0.489,0.333,0.773,32.1,1.6
148,Skal Labissière,7.2,4.5,1.0,0.492,0.353,0.748,4.4,-2.3
149,Dejounte Murray,12.3,6.0,4.8,0.454,0.326,0.768,16.0,1.7
150,Damian Jones,5.2,3.3,0.8,0.659,0.278,0.696,8.2,-1.3
151,Ivica Zubac,8.3,6.5,1.1,0.595,0.1,0.756,25.1,0.6
152,Cheick Diallo,5.2,4.1,0.4,0.596,0.286,0.774,6.4,-1.4
153,Tyler Ulis,7.5,1.7,4.0,0.403,0.28,0.808,0.5,-3.6
154,Malcolm Brogdon,15.5,4.2,4.8,0.464,0.376,0.881,24.4,1.1
155,Isaiah Whitehead,7.2,2.4,2.4,0.411,0.305,0.788,-0.9,-5.0
156,Georges Niang,6.1,2.0,0.8,0.436,0.403,0.87,8.0,-1.0
157,Tyrone Wallace,5.1,2.1,1.1,0.422,0.207,0.656,0.1,-5.2
158,Markelle Fultz,10.7,3.3,4.6,0.447,0.269,0.702,3.2,-2.1
159,Lonzo Ball,11.9,5.7,6.2,0.4,0.364,0.578,11.5,1.1
160,Jayson Tatum,20.8,6.6,3.0,0.455,0.384,0.845,34.2,2.7
161,Josh Jackson,11.3,4.0,1.9,0.416,0.292,0.68,-1.7,-3.8
162,De'Aaron Fox,19.1,3.5,6.2,0.462,0.32,0.725,15.9,0.1
163,Jonathan Isaac,9.3,5.4,1.1,0.435,0.33,0.797,6.7,0.2
164,Lauri Markkanen,15.4,6.8,1.3,0.44,0.363,0.846,16.0,0.0
165,Frank Ntilikina,5.2,1.9,2.4,0.37,0.33,0.775,0.5,-4.1
166,Dennis Smith Jr.,10.7,2.9,4.2,0.402,0.312,0.652,-0.5,-2.3
167,Zach Collins,5.8,4.1,1.0,0.444,0.327,0.739,4.4,-2.6
168,Malik Monk,10.0,2.3,2.0,0.42,0.353,0.828,5.2,-2.0
169,Luke Kennard,9.9,2.8,2.0,0.448,0.424,0.867,13.5,-0.4
170,Donovan Mitchell,23.9,4.1,4.5,0.441,0.362,0.833,28.6,2.5
171,Bam Adebayo,13.4,8.3,3.5,0.557,0.14,0.741,34.4,2.9
172,Justin Jackson,6.5,2.5,1.1,0.426,0.321,0.799,5.3,-2.8
173,John Collins,16.5,8.3,1.6,0.559,0.376,0.779,28.1,1.4
174,Harry Giles,5.9,3.8,1.2,0.511,0.258,0.671,3.0,-2.4
175,Jarrett Allen,11.6,8.7,1.4,0.626,0.189,0.699,35.1,1.7
176,OG Anunoby,10.4,4.1,1.4,0.469,0.371,0.706,17.1,0.1
177,Anžejs Pasečņiks,5.6,3.9,0.7,0.521,0.0,0.586,0.4,-6.2
178,Kyle Kuzma,15.6,6.2,2.2,0.449,0.339,0.723,14.4,-1.0
179,Derrick White,11.5,3.3,3.8,0.441,0.335,0.838,14.5,1.1
180,Josh Hart,9.9,5.7,2.1,0.45,0.347,0.739,15.9,-0.3
181,Frank Jackson,8.4,1.8,1.0,0.423,0.337,0.776,2.3,-3.9
182,Frank Mason III,6.7,2.0,2.6,0.396,0.301,0.755,1.2,-2.6
183,Ivan Rabb,5.7,4.3,1.0,0.555,0.2,0.743,3.2,-1.7
184,Dwayne Bacon,7.3,2.6,1.1,0.402,0.314,0.78,0.8,-5.1
185,Tyler Dorsey,6.7,2.3,1.3,0.389,0.35,0.669,1.0,-3.1
186,Thomas Bryant,10.4,5.8,1.3,0.591,0.35,0.764,11.6,1.5
187,Isaiah Hartenstein,5.6,3.8,1.4,0.602,0.303,0.665,7.6,1.5
188,Damyean Dotson,7.5,2.5,1.5,0.417,0.345,0.711,3.0,-2.8
189,Dillon Brooks,14.4,3.0,2.0,0.42,0.348,0.801,5.1,-3.8
190,Sterling Brown,5.4,3.3,1.0,0.42,0.364,0.796,6.5,-2.1
191,Monte Morris,10.5,2.3,3.7,0.481,0.394,0.825,18.1,0.4
192,Edmond Sumner,5.7,1.5,1.1,0.474,0.333,0.728,1.9,-3.2
193,Kadeem Allen,5.5,1.5,2.3,0.435,0.349,0.757,1.0,-1.2
194,Deandre Ayton,16.3,10.5,1.6,0.601,0.241,0.755,24.3,1.2
195,Marvin Bagley III,13.6,7.4,0.9,0.498,0.288,0.664,7.1,-2.2
196,Luka Dončić,26.2,8.5,7.9,0.456,0.335,0.735,27.4,6.7
197,Jaren Jackson Jr.,15.8,5.1,1.2,0.455,0.353,0.788,12.7,0.0
198,Trae Young,25.1,3.9,9.0,0.439,0.355,0.871,24.8,2.9
199,Mo Bamba,7.6,6.0,0.9,0.473,0.344,0.686,9.7,-0.1
